"id_cliente","nome","id_endereco","sobrenome","data_nascimento","email","telefone","celular","cpf","genero","data_criacao","data_atualizacao","status"
1,Esther,163,Teixeira,2000-09-29,mariana858948@example.net,(65) 79034-9652,(22) 90597-2207,"71284960331",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
2,Mariane,152,Barbosa,2005-01-01,isissilva7264@example.com,(29) 25866-7664,(42) 62029-1129,"38607941240",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
3,Ana Vitória,41,Moura,1972-05-02,fernandesjoaquim8844@example.org,(51) 45846-4436,(79) 89364-2613,"87019632440",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
4,Leandro,54,Viana,1957-10-05,brunosilva8705@example.org,(52) 13001-4571,(61) 28192-2969,"98634712591",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
5,Pietro,56,Santos,1948-11-03,ana-julia375761@example.org,(67) 19581-9257,(71) 13107-6381,"82460719396",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
6,Clarice,113,da Paz,1991-11-08,duarteotavio7887@example.com,(80) 38565-8710,(21) 42752-4579,"80639472583",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
7,Ana Vitória,56,da Cunha,1998-10-06,caue115510@example.org,(51) 34456-6880,(96) 28108-6057,"75489310693",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
8,Ana Sophia,53,da Mota,1965-12-18,moraesantonio7820@example.com,(90) 86986-2870,(60) 19230-5176,"62314759800",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
9,Leonardo,151,Fogaça,1983-10-21,teixeiraenrico9292@example.org,(85) 33246-2731,(19) 61606-3575,"70893145610",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
10,Anthony,116,Cardoso,1946-03-09,eduardo553737@example.com,(80) 58794-2587,(41) 41500-9144,"03615842707",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
11,Natália,131,Mendes,1945-12-15,maite253689@example.com,(68) 64468-8196,(38) 16566-2909,"35920678186",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
12,Davi,179,Dias,1983-01-22,heloisa037394@example.com,(71) 49996-5156,(53) 91734-9403,"01672435943",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
13,Stephany,123,Cardoso,1958-10-02,jesusesther4336@example.com,(40) 96986-1005,(78) 75134-4146,"63798402574",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
14,Laura,118,da Cruz,1957-07-26,maysaalves2332@example.com,(46) 68716-4102,(67) 88537-4949,"23480765190",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
15,Ana Sophia,156,da Luz,1974-07-05,aragaoluana6816@example.com,(14) 92416-1668,(13) 73620-2140,"35084619206",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
16,Levi,38,Teixeira,1966-04-06,kevin309132@example.com,(92) 49813-1349,(98) 46928-5316,"24073619896",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
17,Alice,104,da Costa,1982-05-27,teixeiralucas7355@example.net,(93) 69925-5720,(92) 64089-7342,"67014389548",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
18,Marina,152,Nascimento,1997-06-23,aragaoraquel6201@example.org,(70) 51097-7401,(48) 26131-1471,"51320647871",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
19,Danilo,72,Monteiro,1987-04-02,zviana4024@example.com,(60) 60032-3404,(18) 69441-7413,"80536241970",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
20,Marina,46,Lima,1950-05-10,augusto093169@example.com,(13) 74635-9266,(75) 27979-5037,"25439870610",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
21,Laura,96,Fogaça,1954-01-21,barbosaolivia1280@example.net,(46) 24470-6143,(55) 41448-5992,"40836251989",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
22,Luiz Gustavo,41,Porto,1933-08-31,vitor015840@example.com,(19) 89125-6943,(92) 37273-3861,"52134907860",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
23,Luiz Fernando,199,Correia,2003-08-18,moreiracecilia6590@example.org,(39) 99109-8702,(10) 42528-6595,"62058379438",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
24,Beatriz,200,Castro,1998-05-09,enzo-gabrielviana4994@example.com,(41) 51860-3479,(82) 87510-4037,"53697184075",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
25,Alice,12,Pereira,2002-06-25,henriqueda-mota8298@example.com,(15) 26630-4692,(25) 94215-3746,"24976301869",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
26,Eloah,106,Mendes,1946-02-20,mendesmarcelo2877@example.com,(10) 11145-7289,(41) 39353-9581,"68123750986",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
27,Diogo,75,Vieira,1997-05-01,rezendenicolas1430@example.com,(63) 43562-7602,(49) 77391-7491,"28314075914",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
28,Raul,140,Duarte,1985-12-08,fcardoso1909@example.com,(19) 79064-7562,(28) 79618-3723,"02635179425",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
29,Maria Alice,39,Cardoso,1976-10-08,luigilima8468@example.org,(52) 34012-6838,(22) 31247-8134,"84706593166",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
30,Thales,103,Rezende,1972-02-16,wvieira6210@example.com,(22) 18374-3407,(73) 78477-6114,"94735812032",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
31,Vinicius,75,da Costa,1938-12-02,ujesus5655@example.com,(20) 80233-9705,(65) 22601-8612,"78560321462",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
32,Ana,87,da Costa,1933-04-04,ana-sophianogueira3684@example.org,(20) 24827-1580,(72) 90618-9772,"71840659211",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
33,Vinicius,107,Almeida,2004-02-29,nicole226302@example.com,(57) 12648-3862,(33) 91747-6870,"17293586400",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
34,Maitê,98,Barbosa,1988-08-15,joao-lucas071983@example.net,(11) 59612-1427,(76) 17049-1661,"29436108796",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
35,Ana Luiza,162,Teixeira,1942-07-27,alexandre299996@example.org,(89) 99001-7298,(44) 44626-8370,"35471289005",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
36,Benício,102,da Conceição,1963-09-07,teixeiramaria-eduarda8822@example.org,(79) 93284-9217,(39) 91617-4334,"24163980598",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
37,João Guilherme,92,Araújo,1988-12-27,bruno985093@example.com,(87) 22132-4682,(47) 33794-1000,"29603174831",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
38,Ana Lívia,143,Alves,1960-11-12,joao-lucasazevedo3626@example.net,(86) 51096-3561,(73) 68918-2467,"60952817330",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
39,Enzo,47,Monteiro,1934-10-28,mendesmaria4278@example.net,(56) 63185-5650,(96) 58223-1197,"90761348557",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
40,Alexandre,195,das Neves,1999-01-30,azevedolais9212@example.com,(91) 79382-9657,(34) 68604-5341,"34978260574",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
